Ability,ID,UnitName,Description,Type,School,Categories,Mechanic,Condition,SpellTier,SourceTier,SourceLevel,IsVBlood,BaseCooldown,BaseCastTime,Magic,Unarmed,Sword,GreatSword,Axe,Mace,DualHammers,Spear,Daggers,Crossbow,Longbow,Pistols,Reaper,Whip,Claws,Pollaxe,Slashers,TwinBlades,Wolf,Bear,Rat,Spider,Toad,Werewolf,Gargoyle,Mounted,Enabled,Cooldown,Range,Charges,ChargeTime,AoE,ProjSpeed,LeapHeight,Duration,Healing,DamageScale,CooldownScale,ForceTimeout,PowerWindow,SummonCap,SummonTimeout,SummonUnits,CastSpeed,FreelyMove,InterruptOnHit,TransformOnly,Crash/Issue,Notes
Knight 2 H Charge,-1462154593,Church Of Light Knight 2 H,,,,Other,,CloseRange,,T4,71,N,0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knight 2 H Step Attack,-1330909978,Church Of Light Knight 2 H,,,,Other,,CloseRange,,T4,71,N,0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,-557111974,Church Of Light Knight 2 H,,,,Other,,CloseRange,,T4,71,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knight Shield Shield Heavy Attack,377144854,Church Of Light Knight Shield,,Buff,,Other,Buff,CloseRange,,T4,71,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,-1900214847,Church Of Light Knight Shield,,Melee,,Other,Melee,CloseRange,,T4,71,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Colpo spettrale,-281576382,Church Of Light Lightweaver,,Movement,,Other,Movement,Movement,,T4,76,N,2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lightweaver Holy Bolt,1761660947,Church Of Light Lightweaver,,Projectile,,Other,Projectile,Aimed,,T4,76,N,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lightweaver Holy Bolt Spray,-839571202,Church Of Light Lightweaver,,Projectile,,Other,Projectile,,,T4,76,N,0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lightweaver Holy Trinity,1876841142,Church Of Light Lightweaver,,AoE,,Other,AoE,,,T4,76,N,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectral Strike,1891756809,Church Of Light Lightweaver,,Movement,,Other,Movement,Movement,,T4,76,N,2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectral Strike,-284360089,Church Of Light Lightweaver,,Movement,,Other,Movement,Movement,,T4,76,N,2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Church Of Light Miner On Aggro,499671166,Church Of Light Miner (inferred),,,,,,,,,,,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,2013132333,Church Of Light Miner Standard; Church Of Light Miner,,Melee,,Other,Melee,,,T2,42,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Church Of Light Overseer Hard Snow Lob,1541929232,Church Of Light Overseer,,AoE,,Other,AoE,CloseRange,,T4,66,Y,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: brutal _Hard_ difficulty variant of a base ability — evaluate unique attributes vs the base
Church Of Light Overseer Ice Recovery,1792964134,Church Of Light Overseer,,AoE,,Other,AoE; Heal; Movement,CloseRange,,T4,66,Y,1,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Church Of Light Overseer Icicle Field,1964067196,Church Of Light Overseer,,AoE,,Other,AoE; Projectile,Aimed,,T4,66,Y,0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Church Of Light Overseer Piercing Charge Throw,493409764,Church Of Light Overseer,,Movement,,Other,Movement,,,T4,66,Y,2,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Church Of Light Overseer Reinforcement,1823825002,Church Of Light Overseer,,Summon,,Other,Summon,Summon,,T4,66,Y,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Church Of Light Overseer Spin Attack,-985136954,Church Of Light Overseer,,Projectile,,Other,Projectile,,,T4,66,Y,1,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Church Of Light Overseer Swing Attack,613355091,Church Of Light Overseer,,Projectile,,Other,Projectile,CloseRange,,T4,66,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merciless Charge,-1973550282,Church Of Light Overseer,"Charge forward and grab an enemy dealing {HitDamage} magic damage, and push them in front of you. Deals {AreaDamage} magic area damage, inflicts Ignite and inflicts a Stun lasting {StunDuration}s when reaching maximum range or when colliding with another enemy or object.",Movement,,Other,Movement,CloseRange,,T4,66,Y,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Church Of Light Overseer Ice Rink,896963123,Church Of Light Overseer (inferred),,AoE,,Other,AoE; Summon,Summon,,,,,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Church Of Light Overseer Lance Charge,526997488,Church Of Light Overseer (inferred),,Movement,,Other,Movement,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Church Of Light Overseer Lance Charge Swing,88026855,Church Of Light Overseer (inferred),,,,Other,,CloseRange,,,,,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Church Of Light Paladin Angelic Ascent,-422683973,Church Of Light Paladin,,Movement,,Other,Movement,,,T4,86,Y,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Church Of Light Paladin Centre Travel,1145861576,Church Of Light Paladin,,Movement,,Other,Movement,Movement,,T4,86,Y,5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Church Of Light Paladin Charged Swing,922419960,Church Of Light Paladin,Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,,,Other,,CloseRange,,T4,86,Y,0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Church Of Light Paladin Dash,-1720407974,Church Of Light Paladin,,Projectile,,Other,Projectile,Aimed,,T4,86,Y,2,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Church Of Light Paladin Divine Rays,51772774,Church Of Light Paladin,,,,Other,,,,T4,86,Y,0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Church Of Light Paladin Hard Dash,-1172099204,Church Of Light Paladin,,Projectile,,Other,Projectile,Aimed,,T4,86,Y,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: brutal _Hard_ difficulty variant of a base ability — evaluate unique attributes vs the base
Church Of Light Paladin Heal Angel,-552723816,Church Of Light Paladin,,Heal,,Other,Heal,CloseRange,,T4,86,Y,0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Church Of Light Paladin Holy Bubble Beam,998464144,Church Of Light Paladin,,,,Other,,,,T4,86,Y,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Church Of Light Paladin Holy Flack Cannon,834886466,Church Of Light Paladin,,Projectile,,Other,Projectile,,,T4,86,Y,0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Church Of Light Paladin Holy Flack Cannon Hard,699013677,Church Of Light Paladin,,Projectile,,Other,Projectile,,,T4,86,Y,0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: brutal _Hard_ difficulty variant of a base ability — evaluate unique attributes vs the base
Church Of Light Paladin Holy Spinners,-1852467646,Church Of Light Paladin,,Projectile,,Other,Projectile,,,T4,86,Y,0,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Church Of Light Paladin Summon Angel,1825130923,Church Of Light Paladin,,Summon,,Other,Summon,Summon,,T4,86,Y,0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paladin Dash,413176017,Church Of Light Paladin,,Movement,,Other,Movement,Aimed,,T4,76,N,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paladin Holy Nuke,1926314891,Church Of Light Paladin,,,,Other,,CloseRange,,T4,76,N,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paladin Shock Wave Slam,-626021308,Church Of Light Paladin,,,,Other,,CloseRange,,T4,76,N,0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,-448018551,Church Of Light Paladin,,Melee,,Other,Melee,CloseRange,,T4,76,N,0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,1673497547,Church Of Light Paladin,,Projectile,,Other,Projectile,Aimed,,T4,86,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,1212343160,Church Of Light Paladin,,Melee,,Other,Melee,CloseRange,,T4,76,N,0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Primary Attack,-947518364,Church Of Light Paladin (inferred),,Projectile,,Other,Projectile,CloseRange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Church Of Light Priest Heal Bomb,-1282606238,Church Of Light Priest,,Heal,,Other,Heal,CloseRange,,T4,76,N,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Church Of Light Priest Projectile,-292542362,Church Of Light Priest,,Projectile,,Other,Projectile,Aimed,,T4,76,N,2.5,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Church Of Light Priest Summon Pillar,943885425,Church Of Light Priest,,AoE,,Other,AoE; Movement; Summon,Summon,,T4,76,N,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rifleman Projectile,1622839653,Church Of Light Rifleman,,Projectile,,Other,Projectile,Aimed,,T4,65,N,2.5,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Church Of Light Rifleman Spread Shot UNUSED,-1326377581,Church Of Light Rifleman (inferred),,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Church Of Light Slave Master AoEBuff,-1684687653,Church Of Light Slave Master (inferred),,Buff,,Other,Buff,CloseRange,,,,,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Church Of Light Slave Master AoEBuff Has Ally,-1599671939,Church Of Light Slave Master (inferred),,Buff,,Other,Buff,,,,,,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slave Master Charge Attack,401195214,Church Of Light Slave Master Enforcer,,Melee,,Other,Melee,CloseRange,,T4,65,N,12,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slave Master Hook,1423169435,Church Of Light Slave Master Enforcer,,,,Other,,CloseRange,,T4,65,N,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slave Master Knockdown,-725150213,Church Of Light Slave Master Enforcer,,,,Other,,CloseRange,,T4,65,N,0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: reaction (counter/knockdown) — may be a real CC; evaluate in-game
Slave Master Swing,-1969627539,Church Of Light Slave Master Enforcer,,,,Other,,CloseRange,,T4,65,N,0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Church Of Light Slave Master Knockback Whip,-1879864480,Church Of Light Slave Master Sentry,,,,Other,,CloseRange,,T4,65,N,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dash,-1255881274,Church Of Light Slave Master Sentry,,Movement,,Other,Movement,Movement,,T4,65,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fan The Hammer,97206555,Church Of Light Slave Master Sentry,"Fire 5 bullets in a cone over 1.5s, each bullet deals %25 physical damage and knocks the target back.",Projectile,,Other,Projectile,,,T4,65,N,8,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slave Master Ranged Attack,80712753,Church Of Light Slave Master Sentry,,Projectile,,Other,Projectile,Aimed,,T4,65,N,1,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Church Of Light Slave Master Visual Slave Whip,-1276648449,Church Of Light Slave Master Sentry; Church Of Light Slave Master Enforcer,,,,Other,,CloseRange,,T4,65,N,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slave Ruffian Mine,2122592609,Church Of Light Slave Ruffian; Church Of Light Slave Ruffian Cover,,,,Other,,CloseRange,,T3,63,N,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slave Ruffian Shout,506072916,Church Of Light Slave Ruffian; Church Of Light Slave Ruffian Cover,,,,Other,,,,T3,63,N,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slave Ruffian Swing,-983491078,Church Of Light Slave Ruffian; Church Of Light Slave Ruffian Cover,Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,,,Other,,CloseRange,,T3,63,N,0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Church Of Light Smite Orb Smite,2005435470,Church Of Light Smite Orb,Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,AoE,,Other,AoE,CloseRange,,T4,70,N,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrel Roll,-616794756,Church Of Light Sommelier,"Perform a barrel roll in target direction. Rolling into an enemy stuns it for {minduration}s - {maxduration}s, distance travelled increases stun duration. Taking any damage breaks the effect.",,,Other,,,,T4,70,Y,8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrel Roll,1074442576,Church Of Light Sommelier,"Perform a barrel roll in target direction. Rolling into an enemy stuns it for {minduration}s - {maxduration}s, distance travelled increases stun duration. Taking any damage breaks the effect.",,,Other,,,,T4,70,Y,8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrel Roll,22199616,Church Of Light Sommelier,"Perform a barrel roll in target direction. Rolling into an enemy stuns it for {minduration}s - {maxduration}s, distance travelled increases stun duration. Taking any damage breaks the effect.",Projectile,,Other,Projectile,,,T4,70,Y,8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanguine Coil,215933642,Church Of Light Sommelier,"Launch a projectile that deals {damage} magic damage, drains {leech} health and inflicts Leech. Heals ally hit for {spellpower} and self for {selfhealing} of your spell power.",Heal,Blood,Other,Heal; Projectile,Aimed,,T4,70,Y,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sommelier Ground Stab,1168210403,Church Of Light Sommelier,,,,Other,,CloseRange,,T4,70,Y,3,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sommelier Horizontal Barrel Hard,1129782597,Church Of Light Sommelier,"Perform a barrel roll in target direction. Rolling into an enemy stuns it for {minduration}s - {maxduration}s, distance travelled increases stun duration. Taking any damage breaks the effect.",Projectile,,Other,Projectile,,,T4,70,Y,8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: brutal _Hard_ difficulty variant of a base ability — evaluate unique attributes vs the base
Sommelier Melee Horizontal,1078822594,Church Of Light Sommelier,,,,Other,,CloseRange,,T4,70,Y,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sommelier Melee Swing,-1157907958,Church Of Light Sommelier,,,,Other,,CloseRange,,T4,70,Y,3,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Church Of Light Sommelier Barrel Minion,1587195740,Church Of Light Sommelier (inferred),,AoE,,Other,AoE; Summon,,,,,,8,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrel Roll,-1252510507,Church Of Light Sommelier Barrel Minion,"Perform a barrel roll in target direction. Rolling into an enemy stuns it for {minduration}s - {maxduration}s, distance travelled increases stun duration. Taking any damage breaks the effect.",Movement,,Other,Movement,CloseRange,,T3,62,N,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giant Crow Dash,1854645901,Crow Manticore,,Movement,,Other,Movement,Aimed,,T3,54,N,1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cultist Projectile,1238091894,Cultist Pyromancer,,Projectile,,Other,Projectile,Aimed,,T3,60,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shriek,14947666,Cultist Pyromancer,Summon ghosts at target location that deals {damage} magic damage and inflict panic on all enemies hit that last for {duration}s.,AoE,,Other,AoE,CloseRange,,T3,60,N,12,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,249896389,Cultist Slicer,,Melee,,Other,Melee,,,T3,60,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,-1512916174,Cultist Slicer,,Melee,,Other,Melee,,,T3,60,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,-2095410919,Cultist Slicer,,Melee,,Other,Melee,,,T3,60,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear Cursed Dash,-730437928,Cursed Bear,,Movement,,Other,Movement,CloseRange,,T3,62,N,12,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear Spirit Area Attack,-190598145,Cursed Bear Spirit,Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,,,Other,,CloseRange,,T4,80,N,3,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear Area Attack,160063059,Cursed Bear; Forest Bear,,,,Other,,CloseRange,,T3,62,N,6,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,1745337333,Cursed Bear; Forest Bear; Cursed Bear Spirit,,Melee,,Other,Melee,CloseRange,,T3,62,N,2,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Attaque principale,2015521421,Cursed Monster Toad,Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,,,Other,,CloseRange,,T3,62,N,0.7,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cursed Monster Toad Swallow,750606882,Cursed Monster Toad,,,,Other,,CloseRange,,T3,62,N,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cursed Monster Toad Tongue Slap,736733073,Cursed Monster Toad,,,,Other,,CloseRange,,T3,62,N,1,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cursed Monster Toad Leap Attack,-1684997624,Cursed Monster Toad; Cursed Toad Spitter,,Movement,,Other,Movement,Aimed,,T3,62,N,8,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cursed Mountain Beast Enrage,1439273397,Cursed Mountain Beast,,Movement,,Other,Movement,Aimed,,T4,84,Y,8,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cursed Mountain Beast Ghost Call,-1574537639,Cursed Mountain Beast,,Projectile,,Other,Projectile,CloseRange,,T4,84,Y,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cursed Mountain Beast Kong Pound,2067796423,Cursed Mountain Beast,,AoE,,Other,AoE; Projectile,CloseRange,,T4,84,Y,4,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cursed Mountain Beast Leap Attack,-130931989,Cursed Mountain Beast,,Movement,,Other,Movement,Aimed,,T4,84,Y,3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cursed Mountain Beast Spirit Double,-430375110,Cursed Mountain Beast,,Heal,,Other,Heal; Summon,Summon,,T4,84,Y,8,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cursed Mountainbeast Melee Straight,-453331838,Cursed Mountain Beast,,,,Other,,CloseRange,,T4,84,Y,1.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cursed Mountain Beast Spirit Double Engage Circling,2091042632,Cursed Mountain Beast Spirit Double,,,,Other,,,,T4,82,N,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cursed Mountain Beast Dash Attack,556335075,Cursed Mountain Beast; Cursed Mountain Beast Spirit Double,,Movement,,Other,Movement,Aimed,,T4,84,Y,12,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cursed Mountain Beast Whack AVamp,1221980502,Cursed Mountain Beast; Cursed Mountain Beast Spirit Double,,,,Other,,CloseRange,,T4,84,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cursed Mountain Beast Whack AVamp Buff,756139644,Cursed Mountain Beast; Cursed Mountain Beast Spirit Double,,Buff,,Other,Buff,,,T4,84,Y,1.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cursed Mountainbeast Horn Flick,-749389155,Cursed Mountain Beast; Cursed Mountain Beast Spirit Double,,,,Other,,CloseRange,,T4,84,Y,1.5,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cursed Mountainbeast Tripple Attack,-1771783202,Cursed Mountain Beast; Cursed Mountain Beast Spirit Double,,,,Other,,CloseRange,,T4,84,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nightlurker Heavy Attack,-14207169,Cursed Nightlurker,,,,Other,,CloseRange,,T3,62,N,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nightlurker Rush,-413591328,Cursed Nightlurker,,,,Other,,,,T3,62,N,9,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,1708209167,Cursed Nightlurker,,Melee,,Other,Melee,CloseRange,,T3,62,N,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Attack,-195118922,Cursed Nightlurker,,Melee,,Other,Melee,CloseRange,,T3,62,N,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cursed Toad King Double Tongue Slap,1718898538,Cursed Toad King,,,,Other,,CloseRange,,T4,64,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: REVIEW
Cursed Toad King Frog Split,1808492070,Cursed Toad King,,Movement,,Other,Movement; Summon,Summon,,T4,64,Y,8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: NEEDS-WORK
Cursed Toad King Frog Vomit,1421967280,Cursed Toad King,,Summon,,Other,Summon,Summon,,T4,64,Y,20,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: REVIEW
Cursed Toad King Poison Leap,1790744720,Cursed Toad King,,Movement,,Other,Movement,Aimed,,T4,64,Y,8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,8,,,,,,20,,,,,,,,,,,,,,,UNBLOCKED 2026-06-05 — launch tamed via leapheight=20 + cooldown=8s instead of blocking.
Cursed Toad King Poison Rain,-1864096491,Cursed Toad King,,AoE,,Other,AoE,CloseRange,,T4,64,Y,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: REVIEW
Cursed Toad King Spit,-1238687119,Cursed Toad King,,Movement,,Other,Movement,,,T4,64,Y,2,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,8,,,,,,15,,,,,,,,,,,,,,,UNBLOCKED 2026-06-05 — launch tamed via leapheight=15 + cooldown=8s instead of blocking.
Cursed Toad King Swallow,1292896032,Cursed Toad King,,Movement,,Other,Movement,CloseRange,,T4,64,Y,1,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,10,,,,,,20,,,,,,,,,,,,,,,UNBLOCKED 2026-06-05 — launch tamed via leapheight=20 + cooldown=10s instead of blocking.
Cursed Toad King Tongue Grab,-514415940,Cursed Toad King,,,,Other,,CloseRange,,T4,64,Y,0.7,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: REVIEW
